"legislator","cluster","d1","d2","coord1D","coord2D"
"Alinco_Bustos_René","izquierda",-0.572124044890355,1.29873696322109,-0.702814877033234,-0.711372792720795
"De la Carrera_Correa_Gonzalo","derecha",1.32056441769747,1.27765757930238,0.964564561843872,-0.131871297955513
"Kaiser_Barents-Von Hohenhagen_Johannes","derecha",1.24805534439408,1.19079970578552,0.938016533851624,-0.114692106842995
"Jiles_Moreno_Pamela","izquierda",-0.507000784946024,1.15820830606277,-0.594378888607025,-0.804185152053833
"Urruticoechea_Ríos_Cristóbal","derecha",1.19020496206215,1.1571823289649,0.91895717382431,-0.133230119943619
"Rivas_Sánchez_Gaspar","izquierda",-0.136258616654526,1.09662699093172,-0.458057135343552,-0.888922810554504
"Romero_Sáez_Leonidas","derecha",1.19682167049868,1.07995187905741,0.921307742595673,-0.169672474265099
"Arroyo_Muñoz_Roberto","derecha",0.7470281559229,1.07116477307914,0.539148032665253,-0.514965116977692
"Naveillan_Arriagada_Gloria","derecha",1.25918615348146,1.04281178339381,0.924761593341827,-0.147583067417145
"Labbé_Martínez_Cristian","derecha",1.17703871450735,1.03979777875387,0.889602541923523,-0.118143975734711
