"legislator","d1","d2","cluster","coord1D","coord2D"
"Barrios_Oteíza_Arturo",-0.568880896827133,0.589808829607562,"izquierda",-0.638440370559692,0.267631679773331
"Acevedo_Sáez_María Candelaria",-0.700716631948742,0.560410663610128,"izquierda",-0.954922258853912,0.258432298898697
"Aedo_Jeldres_Eric",-0.324611811416696,0.680865159840263,"izquierda",-0.424910962581635,0.134520038962364
"Ahumada_Palma_Yovana",0.374594752831395,0.838644874712042,"derecha",0.272486865520477,-0.792754709720612
"Alessandri_Vergara_Jorge",0.652064889626055,0.762552879405757,"derecha",0.514800131320953,0.599611341953278
"Alinco_Bustos_René",-0.572124044890355,1.29873696322109,"izquierda",-0.702814877033234,-0.711372792720795
"Araya_Guerrero_Jaime",-0.528582890769871,0.905985041872036,"izquierda",-0.671396970748901,-0.670144379138947
"Araya_Lerdo de Tejada_Cristián",1.02148574494918,0.844880098199385,"derecha",0.849032342433929,-0.528340816497803
"Arce_Castro_Mónica",-0.665335236812861,0.923839233406295,"izquierda",-0.797020554542542,-0.277793020009995
"Arroyo_Muñoz_Roberto",0.7470281559229,1.07116477307914,"derecha",0.539148032665253,-0.514965116977692
"Astudillo_Peiretti_Danisa",-0.636376372864965,0.614672567925971,"izquierda",-0.794925153255463,-0.356921166181564
"Barchiesi_Chávez_Chiara",1.02047940543416,0.778787630607854,"derecha",0.816222310066223,-0.577737987041473
"Barrera_Moreno_Boris",-0.69800724842763,0.539807408098788,"izquierda",-0.955352783203125,0.270332306623459
"Barría_Angulo_Héctor",-0.391173538902746,0.609488122927435,"izquierda",-0.508340418338776,0.337828248739243
"Becker_Alvear_Miguel Ángel",0.494955118616691,0.728996967432829,"derecha",0.371365249156952,0.190776258707047
"Bello_Campos_María Francisca",-0.706783568667598,0.558925364465598,"izquierda",-0.923433780670166,0.135344102978706
"Beltrán_Silva_Juan Carlos",0.441446075515195,0.683087654074926,"derecha",0.314120382070541,0.137797519564629
"Benavente_Vergara_Gustavo",0.659316093974439,0.750815307520098,"derecha",0.512809753417969,0.618273079395294
"Berger_Fett_Bernardo",0.543057949933721,0.729463536608949,"derecha",0.41180557012558,-0.106370873749256
"Bernales_Maldonado_Alejandro",-0.412272677736845,0.764591393403652,"izquierda",-0.5294588804245,0.0334761664271355
"Bianchi_Chelech_Carlos",-0.380587299547558,0.736445387630967,"izquierda",-0.537164807319641,0.37322998046875
"Bobadilla_Muñoz_Sergio",0.883232476849663,0.826962676983485,"derecha",0.649032592773438,-0.0745109990239143
"Bórquez_Montecinos_Fernando",0.3811681882379,0.699964631957376,"derecha",0.36591637134552,0.226776167750359
"Bravo_Castro_Ana María",-0.590071135854453,0.534940856840638,"izquierda",-0.73056548833847,0.0508909337222576
"Bravo_Salinas_Marta",0.448051700634711,0.737914722690853,"derecha",0.410959929227829,0.715825080871582
"Brito_Hasbún_Jorge",-0.702441969093914,0.602440093179008,"izquierda",-0.878450691699982,-0.123910628259182
"Bugueño_Sotelo_Félix",-0.583137557446631,0.504825372697289,"izquierda",-0.711445987224579,0.154617369174957
"Calisto_Águila_Miguel Ángel",-0.0307225268419406,0.846143447891422,"izquierda",-0.0758317485451698,-0.220442250370979
"Camaño_Cárdenas_Felipe",-0.230278064201607,0.77854029094228,"izquierda",-0.425966531038284,-0.041637260466814
"Cariola_Oliva_Karol",-0.625150991886753,0.454598303102756,"izquierda",-0.857286810874939,0.0960453450679779
"Carter_Fernández_Álvaro",0.985171602417965,0.802700711349398,"derecha",0.786563694477081,-0.460771769285202
"Castillo_Rojas_Nathalie",-0.699249546673579,0.700518746737947,"izquierda",-0.96360582113266,0.0404631495475769
"Castro_Bascuñán_José Miguel",0.500086100907425,0.832632820851911,"derecha",0.407000213861466,0.293481469154358
"Celis_Montt_Andrés",0.423090024856069,0.715088055561609,"derecha",0.334757775068283,0.19085705280304
"Cicardini_Milla_Daniella",-0.63591174093889,0.611951530441635,"izquierda",-0.77911114692688,-0.295971035957336
"Cid_Versalovic_Sofía",1.01480174801082,0.788934044522925,"derecha",0.833416521549225,-0.55264538526535
"Cifuentes_Lillo_Ricardo",-0.357188157974392,0.699960245615552,"izquierda",-0.477000921964645,0.350688189268112
"Coloma_Álamos_Juan Antonio",0.604023266695393,0.739391975609733,"derecha",0.485305815935135,0.679353475570679
"Concha_Smith_Sara",0.690378233262692,0.744741162470895,"derecha",0.600824892520905,-0.308753907680511
"Cordero_Velásquez_María Luisa",0.331039345864141,0.72178353544279,"derecha",0.236111611127853,-0.309779793024063
"Cornejo_Lagos_Eduardo",0.61859912700524,0.781229709968833,"derecha",0.525794982910156,0.716965734958649
"Cuello_Peña y Lillo_Luis Alberto",-0.694951728618044,0.545407451763337,"izquierda",-0.949983716011047,0.237745434045792
"De la Carrera_Correa_Gonzalo",1.32056441769747,1.27765757930238,"derecha",0.964564561843872,-0.131871297955513
"Del Real_Mihovilovic_Catalina",1.05386708338858,0.779814389326449,"derecha",0.852023065090179,-0.523504376411438
"Delgado_Riquelme_Viviana",-0.693805085969048,0.626993368613741,"izquierda",-0.844564139842987,-0.245279803872108
"Donoso_Castro_Felipe",0.65564711291195,0.785712210740609,"derecha",0.575862467288971,0.781538546085358
"Durán_Espinoza_Jorge",0.763300019222965,0.951694429444896,"derecha",0.617576658725739,-0.188059642910957
"Durán_Salinas_Eduardo",0.417081574014906,0.723323412351787,"derecha",0.360533177852631,0.16590990126133
"Flores_Oporto_Camila",0.768138512389236,0.784980289704877,"derecha",0.629162728786469,-0.202472552657127
"Fries_Monleón_Lorena",-0.69163681956973,0.70564100622255,"izquierda",-0.815918326377869,0.437928676605225
"Fuenzalida_Cobo_Juan",0.705556269850713,0.907637697204729,"derecha",0.508651852607727,0.60113936662674
"Gazmuri_Vieira_Ana María",-0.733028997994257,0.615434995805236,"izquierda",-0.950949668884277,0.2500139772892
"Giordano_Salazar_Andrés",-0.62579617564491,0.444976247802369,"izquierda",-0.846808195114136,0.198632627725601
"González_Gatica_Félix",-0.725830600840876,0.923249527611288,"izquierda",-0.883374571800232,-0.372452467679977
