"d1","d2","legislator","auto_cluster","cluster_manual"
-0.568880896827133,0.589808829607562,"Barrios_Oteíza_Arturo","left","izquierda"
-0.700716631948742,0.560410663610128,"Acevedo_Sáez_María Candelaria","left","izquierda"
-0.324611811416696,0.680865159840263,"Aedo_Jeldres_Eric","left","izquierda"
0.374594752831395,0.838644874712042,"Ahumada_Palma_Yovana","right","derecha"
0.652064889626055,0.762552879405757,"Alessandri_Vergara_Jorge","right","derecha"
-0.572124044890355,1.29873696322109,"Alinco_Bustos_René","left","izquierda"
-0.528582890769871,0.905985041872036,"Araya_Guerrero_Jaime","left","derecha"
1.02148574494918,0.844880098199385,"Araya_Lerdo de Tejada_Cristián","right","derecha"
-0.665335236812861,0.923839233406295,"Arce_Castro_Mónica","left","derecha"
0.7470281559229,1.07116477307914,"Arroyo_Muñoz_Roberto","right","derecha"
-0.636376372864965,0.614672567925971,"Astudillo_Peiretti_Danisa","left","izquierda"
1.02047940543416,0.778787630607854,"Barchiesi_Chávez_Chiara","right","derecha"
-0.69800724842763,0.539807408098788,"Barrera_Moreno_Boris","left","izquierda"
-0.391173538902746,0.609488122927435,"Barría_Angulo_Héctor","left","izquierda"
0.494955118616691,0.728996967432829,"Becker_Alvear_Miguel Ángel","right","derecha"
-0.706783568667598,0.558925364465598,"Bello_Campos_María Francisca","left","izquierda"
0.441446075515195,0.683087654074926,"Beltrán_Silva_Juan Carlos","right","derecha"
0.659316093974439,0.750815307520098,"Benavente_Vergara_Gustavo","right","derecha"
0.543057949933721,0.729463536608949,"Berger_Fett_Bernardo","right","derecha"
-0.412272677736845,0.764591393403652,"Bernales_Maldonado_Alejandro","left","izquierda"
-0.380587299547558,0.736445387630967,"Bianchi_Chelech_Carlos","left","derecha"
0.883232476849663,0.826962676983485,"Bobadilla_Muñoz_Sergio","right","derecha"
0.3811681882379,0.699964631957376,"Bórquez_Montecinos_Fernando","right","derecha"
-0.590071135854453,0.534940856840638,"Bravo_Castro_Ana María","left","izquierda"
0.448051700634711,0.737914722690853,"Bravo_Salinas_Marta","right","derecha"
-0.702441969093914,0.602440093179008,"Brito_Hasbún_Jorge","left","izquierda"
-0.583137557446631,0.504825372697289,"Bugueño_Sotelo_Félix","left","izquierda"
-0.0307225268419406,0.846143447891422,"Calisto_Águila_Miguel Ángel","left","derecha"
-0.230278064201607,0.77854029094228,"Camaño_Cárdenas_Felipe","left","derecha"
-0.625150991886753,0.454598303102756,"Cariola_Oliva_Karol","left","izquierda"
0.985171602417965,0.802700711349398,"Carter_Fernández_Álvaro","right","derecha"
-0.699249546673579,0.700518746737947,"Castillo_Rojas_Nathalie","left","izquierda"
0.500086100907425,0.832632820851911,"Castro_Bascuñán_José Miguel","right","derecha"
0.423090024856069,0.715088055561609,"Celis_Montt_Andrés","right","derecha"
-0.63591174093889,0.611951530441635,"Cicardini_Milla_Daniella","left","izquierda"
1.01480174801082,0.788934044522925,"Cid_Versalovic_Sofía","right","derecha"
-0.357188157974392,0.699960245615552,"Cifuentes_Lillo_Ricardo","left","izquierda"
0.604023266695393,0.739391975609733,"Coloma_Álamos_Juan Antonio","right","derecha"
