"legislator","d1","d2","cluster_original","cluster_corregido","cambio"
"Labbé_Martínez_Cristian",1.17141577303068,1.0461404973549,"derecha","derecha","NO"
"Labra_Besserer_Paula",0.802195938957489,0.802857073237115,"derecha","derecha","NO"
"Lagomarsino_Guzmán_Tomás",-0.43539260343481,0.891423470093,"derecha","izquierda","SI"
"Lavín_León_Joaquín",0.62586311201756,0.792464322193048,"derecha","derecha","NO"
"Leal_Bizama_Henry",0.535535363963463,0.771258341026074,"derecha","derecha","NO"
"Lee_Flores_Enrique",0.313089841864979,0.870593898344943,"derecha","derecha","NO"
"Leiva_Carvajal_Raúl",-0.447927295918032,0.62620192350103,"izquierda","izquierda","NO"
"Lilayu_Vivanco_Daniel",0.43344282810225,0.738580262439543,"derecha","derecha","NO"
"Longton_Herrera_Andrés",0.497888561805008,0.855282548581993,"derecha","derecha","NO"
"Malla_Valenzuela_Luis",-0.587072287856445,0.722285061476296,"izquierda","izquierda","NO"
"Manouchehri_Lobos_Daniel",-0.628272327432319,0.653055186580807,"izquierda","izquierda","NO"
"Martínez_Ramírez_Cristóbal",0.654721454529089,0.79253820580623,"derecha","derecha","NO"
"Marzán_Pinto_Carolina",-0.641620512750704,0.597672024175359,"izquierda","izquierda","NO"
"Matheson_Villán_Christian",0.722958924072136,1.01454412589184,"derecha","derecha","NO"
"Medina_Vásquez_Karen",-0.22158712872143,0.802406769903716,"derecha","izquierda","SI"
"Mellado_Pino_Cosme",-0.461884227985,0.560330871864379,"izquierda","izquierda","NO"
"Mellado_Suazo_Miguel",0.539258507408663,0.779056147367974,"derecha","derecha","NO"
"Melo_Contreras_Daniel",-0.636048417161615,0.591197566202361,"izquierda","izquierda","NO"
"Meza_Pereira_José Carlos",0.949883889924073,0.846313113912405,"derecha","derecha","NO"
"Mirosevic_Verdugo_Vlado",-0.54855115383134,0.702251390605054,"izquierda","izquierda","NO"
"Mix_Jiménez_Claudia",-0.762524065866128,0.704544457186758,"izquierda","izquierda","NO"
"Molina_Milman_Helia",-0.571300108124962,0.584579935936809,"izquierda","izquierda","NO"
"Morales_Alvarado_Javiera",-0.65135544225117,0.559438588685643,"izquierda","izquierda","NO"
"Morales_Maldonado_Carla",0.331877227456855,0.720037579971817,"derecha","derecha","NO"
"Moreira_Barros_Cristhian",0.4868001121712,0.748262962466674,"derecha","derecha","NO"
"Moreno_Bascur_Benjamín",1.03369286557384,0.83525642146249,"derecha","derecha","NO"
"Mulet_Martínez_Jaime",-0.645084994456946,0.530397379523716,"izquierda","izquierda","NO"
"Muñoz_González_Francesca",0.72406648262169,0.874769389866492,"derecha","derecha","NO"
"Musante_Müller_Camila",-0.604428440734846,0.653074719898693,"derecha","izquierda","SI"
"Naranjo_Ortiz_Jaime",-0.487884446060615,0.570117878104558,"izquierda","izquierda","NO"
"Naveillan_Arriagada_Gloria",1.24913114471314,1.05485809865707,"derecha","derecha","NO"
"Nuyado_Ancapichún_Emilia",-0.700101894505131,0.590148249903771,"izquierda","izquierda","NO"
"Ñanco_Vásquez_Coca Ericka",-0.70576798534658,0.668731092040296,"izquierda","izquierda","NO"
"Olivera_De La Fuente_Erika",-0.043182504493252,0.808776320390931,"derecha","izquierda","SI"
"Orsini_Pascal_Maite",-0.69204395726458,0.529000402211845,"izquierda","izquierda","NO"
"Ossandón_Irarrázabal_Ximena",0.415826412186407,0.780145319775538,"derecha","derecha","NO"
"Oyarzo_Figueroa_Rubén Darío",-0.381084897037588,0.708521331188099,"derecha","izquierda","SI"
"Palma_Pérez_Hernán",-0.687571127790511,0.50173604588395,"derecha","izquierda","SI"
"Pérez_Cartes_Marlene",0.593349943882217,0.804363707172095,"derecha","derecha","NO"
"Pérez_Olea_Joanna",0.0246590924479301,0.795549727461232,"derecha","izquierda","SI"
"Pérez_Salinas_Catalina",-0.523474808782131,0.302717936189994,"izquierda","izquierda","NO"
"Pino_Fuentes_Víctor Alejandro",0.0804647602833505,0.794828250240031,"derecha","izquierda","SI"
"Pizarro_Sierra_Lorena",-0.732686310986456,0.515872607709398,"izquierda","izquierda","NO"
"Placencia_Cabello_Alejandra",-0.679986760753465,0.475352274111158,"izquierda","izquierda","NO"
"Ramírez_Diez_Guillermo",0.602713016207592,0.803741014839891,"derecha","derecha","NO"
"Ramírez_Pascal_Matías",-0.74331843903473,0.559542870684004,"izquierda","izquierda","NO"
"Raphael_Mora_Marcia",0.475014287884358,0.771401902118331,"derecha","derecha","NO"
"Rathgeb_Schifferli_Jorge",0.503211756846602,0.808195117181326,"derecha","derecha","NO"
"Rey_Martínez_Hugo",0.347192629499588,0.735241720500863,"derecha","derecha","NO"
"Riquelme_Aliaga_Marcela",-0.580704804587516,0.990211544776645,"derecha","izquierda","SI"
"Rivas_Sánchez_Gaspar",-0.065042843184413,1.10315626618063,"derecha","izquierda","SI"
"Rojas_Valderrama_Camila",-0.708746911019128,0.503315790818748,"izquierda","izquierda","NO"
"Romero_Leiva_Agustín",1.01436853958677,0.848134332677176,"derecha","derecha","NO"
"Romero_Sáez_Leonidas",1.18633164271557,1.09148194200135,"derecha","derecha","NO"
"Romero_Talguia_Natalia",0.387686110372255,0.772214220026316,"derecha","derecha","NO"
"Rosas_Barrientos_Patricio",-0.725517507827882,0.816615544621027,"izquierda","izquierda","NO"
"Sáez_Quiroz_Jaime",-0.665653274522114,0.556214415810537,"izquierda","izquierda","NO"
"Saffirio_Espinoza_Jorge",-0.0224465721948639,0.766289155362719,"derecha","izquierda","SI"
"Sagardía_Cabezas_Clara",-0.678001035410343,0.502927171381027,"izquierda","izquierda","NO"
"Sánchez_Ossa_Luis",1.02927807459529,0.851629453920742,"derecha","derecha","NO"
"Santana_Castillo_Juan",-0.662520431305556,0.559912273234394,"izquierda","izquierda","NO"
"Santibáñez_Novoa_Marisela",-0.688032291648144,0.569415439683656,"izquierda","izquierda","NO"
"Sauerbaum_Muñoz_Frank",0.483761500978227,0.736181580968198,"derecha","derecha","NO"
"Schalper_Sepúlveda_Diego",0.508045236354072,0.746643304954675,"derecha","derecha","NO"
"Schneider_Videla_Emilia",-0.723836085990582,0.565263248124318,"izquierda","izquierda","NO"
"Schubert_Rubio_Stephan",1.05183906661016,0.83525418400082,"derecha","derecha","NO"
"Sepúlveda_Soto_Alexis",-0.484345028861016,0.594998857214051,"izquierda","izquierda","NO"
"Serrano_Salazar_Daniela",-0.709371109127308,0.508621814703447,"izquierda","izquierda","NO"
"Soto_Ferrada_Leonardo",-0.522046050396557,0.661003290967351,"izquierda","izquierda","NO"
"Soto_Mardones_Raúl",-0.452052641277373,0.602974481913923,"izquierda","izquierda","NO"
"Sulantay_Olivares_Marco Antonio",0.604804723286793,0.743150216402365,"derecha","derecha","NO"
"Tapia_Ramos_Cristián",-0.583877681388507,0.56136980600198,"derecha","izquierda","SI"
"Teao_Drago_Hotuiti",0.42113430525151,0.823861488830347,"derecha","derecha","NO"
"Tello_Rojas_Carolina",-0.691209185557195,0.511352166623779,"izquierda","izquierda","NO"
"Trisotti_Martínez_Renzo",0.971380064956601,0.827307553012445,"derecha","derecha","NO"
"Ulloa_Aguilera_Héctor",-0.459079001423847,0.609456442370427,"derecha","izquierda","SI"
"Undurraga_Gazitúa_Francisco",0.458797106982548,0.798118004530423,"derecha","derecha","NO"
"Undurraga_Vicuña_Alberto",-0.393047264457296,0.859598894252288,"izquierda","izquierda","NO"
"Urruticoechea_Ríos_Cristóbal",1.17603864518292,1.1716094085561,"derecha","derecha","NO"
"Veloso_Ávila_Consuelo",-0.745180387923081,0.650599223546559,"derecha","izquierda","SI"
"Venegas_Salazar_Nelson",-0.475796844145633,0.779018792113813,"izquierda","izquierda","NO"
"Videla_Castillo_Sebastián",-0.52510066860019,0.7758602350507,"derecha","izquierda","SI"
"Von Mühlenbrock_Zamora_Gastón",0.627214584635903,0.763017237104102,"derecha","derecha","NO"
"Weisse_Novoa_Flor",0.737106200724584,0.78744377134014,"derecha","derecha","NO"
"Winter_Etcheberry_Gonzalo",-0.643511986465138,0.582672561226842,"izquierda","izquierda","NO"
"Yeomans_Araya_Gael",-0.697794692736815,0.499359894470418,"izquierda","izquierda","NO"
"Celedón_Fernández_Roberto",-0.690520228334374,0.618206284224923,"derecha","izquierda","SI"
"De Rementería_Venegas_Tomás",-0.460667370943102,0.464276605324715,"izquierda","izquierda","NO"
